timestamp,temperature_c,humidity_rh
2026-03-09 19:57:01,22.30,41.10
2026-03-09 20:02:01,22.50,42.60
2026-03-09 20:07:01,22.40,42.80
2026-03-09 20:12:01,22.40,44.00
2026-03-09 20:17:01,22.50,43.80
2026-03-09 20:22:01,22.60,44.30
2026-03-09 20:27:01,22.80,43.70
2026-03-09 20:32:01,22.90,43.70
2026-03-09 20:37:01,23.00,43.80
2026-03-09 20:42:01,23.10,43.70
2026-03-09 20:47:01,23.30,43.50
2026-03-09 20:52:01,23.30,43.40
2026-03-09 20:57:01,23.30,43.30
2026-03-09 21:02:01,23.10,43.40
2026-03-09 21:07:01,23.00,43.40
2026-03-09 21:12:01,22.90,43.70
2026-03-09 21:17:01,22.80,43.90
2026-03-09 21:22:01,22.70,44.20
2026-03-09 21:27:01,22.50,44.50
2026-03-09 21:32:01,22.40,44.80
2026-03-09 21:37:01,22.30,45.00
2026-03-09 21:42:01,22.20,45.30
2026-03-09 21:47:01,22.10,45.50
2026-03-09 21:52:01,22.00,45.60
2026-03-09 21:57:01,21.90,45.90
2026-03-09 22:02:01,21.80,46.00
2026-03-09 22:07:01,21.80,46.20
2026-03-09 22:12:01,21.70,46.30
2026-03-09 22:17:01,21.60,46.50
2026-03-09 22:22:01,21.60,46.80
2026-03-09 22:27:01,21.50,46.80
2026-03-09 22:32:01,21.50,47.00
2026-03-09 22:37:01,21.40,47.10
2026-03-09 22:42:01,21.40,47.30
2026-03-09 22:47:01,21.30,47.40
2026-03-09 22:52:01,21.30,47.60
2026-03-09 22:57:01,21.20,47.60
2026-03-09 23:02:01,21.20,47.70
2026-03-09 23:07:01,21.20,47.80
2026-03-09 23:12:01,21.10,47.90
2026-03-09 23:17:01,21.10,48.00
2026-03-09 23:22:01,21.10,48.10
2026-03-09 23:27:01,21.10,48.10
2026-03-09 23:32:01,21.00,48.20
2026-03-09 23:37:01,21.00,48.20
2026-03-09 23:42:01,21.00,48.30
2026-03-09 23:47:01,21.00,48.40
2026-03-09 23:52:01,20.90,48.40
2026-03-09 23:57:01,20.90,48.40
2026-03-10 00:02:01,20.90,48.50
2026-03-10 00:07:01,20.90,48.50
2026-03-10 00:12:01,20.80,48.60
2026-03-10 00:17:01,20.80,48.60
2026-03-10 00:22:01,20.80,48.80
2026-03-10 00:27:01,20.80,48.80
2026-03-10 00:32:01,20.70,48.80
2026-03-10 00:37:01,20.70,48.90
2026-03-10 00:42:01,20.70,48.90
2026-03-10 00:47:01,20.70,48.90
2026-03-10 00:52:01,20.70,49.00
2026-03-10 00:57:01,20.60,49.20
2026-03-10 01:02:01,20.60,49.10
2026-03-10 01:07:01,20.60,49.20
2026-03-10 01:12:01,20.60,49.20
2026-03-10 01:17:01,20.60,49.20
2026-03-10 01:22:01,20.60,49.20
2026-03-10 01:27:01,20.60,49.20
2026-03-10 01:32:01,20.50,49.30
2026-03-10 01:37:01,20.50,49.50
2026-03-10 01:42:01,20.50,49.40
2026-03-10 01:47:01,20.50,49.40
2026-03-10 01:52:01,20.50,49.50
2026-03-10 01:57:01,20.50,49.50
2026-03-10 02:02:01,20.40,49.60
2026-03-10 02:07:01,20.40,49.50
2026-03-10 02:12:01,20.40,49.60
2026-03-10 02:17:01,20.40,49.50
